persona_id,sector,size,org_type,framework,key_evidence
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-CG,Board Composition
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-CG,Board Charter
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-CG,Audit Committee Charter
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-CG,Related Party Transactions Log
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-DISCLOSURE,Annual Report
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-DISCLOSURE,Material Event Disclosures
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-DISCLOSURE,Insider Trading Logs
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-IC,Internal Controls Assessment
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-IC,External Audit Report
1,BANKING,ENTERPRISE,JSC_LISTED,CMA-IC,Internal Audit Plan
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-LABOR,Employment Contracts
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-LABOR,Wage Protection System
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-LABOR,GOSI Registration
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-SAUDIZATION,Nitaqat Tier Certificate
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-SAUDIZATION,Saudi Employee Quota Compliance
1,BANKING,ENTERPRISE,JSC_LISTED,MHRSD-SAUDIZATION,Mowamh Reports
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-COMPANIES,Commercial Registration
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-COMPANIES,Articles of Association
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-COMPANIES,Annual Filing
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-CONSUMER,Refund/Return Policy
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-CONSUMER,Pricing Display
1,BANKING,ENTERPRISE,JSC_LISTED,MOCI-CONSUMER,Complaint Handling Log
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,Cybersecurity Strategy
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,Risk Register
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,MFA Configuration
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,SIEM Logs
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,Pen Test Report
1,BANKING,ENTERPRISE,JSC_LISTED,NCA-ECC,Incident Response Plan
1,BANKING,ENTERPRISE,JSC_LISTED,NCNICC,Cybersecurity Self-Assessment
1,BANKING,ENTERPRISE,JSC_LISTED,NCNICC,Risk Register
1,BANKING,ENTERPRISE,JSC_LISTED,NCNICC,Annual NCA Filing
1,BANKING,ENTERPRISE,JSC_LISTED,PCI-DSS,AOC
1,BANKING,ENTERPRISE,JSC_LISTED,PCI-DSS,ROC (Level 1)
1,BANKING,ENTERPRISE,JSC_LISTED,PCI-DSS,ASV Scan Reports
